"Index","Open","High","Low","Close","Volume"
1973-01-06,7675,7705,7666,7675,17255
1973-01-07,7696,7726,7692,7724,15802
1973-01-08,7795,7842,7795,7832,23735
1973-01-09,7873,7883,7825,7882,27073
1973-01-10,7828,7862,7825,7853,22685
1973-01-11,7828,7844,7817,7837,14779
1973-01-12,7801,7847,7801,7842,20412
1973-01-13,7863,7899,7853,7885,22926
1973-01-14,7869,7873,7856,7862,14481
1973-01-15,7859,7868,7835,7843,17913
1973-01-16,7840,7845,7820,7832,10073
1973-01-17,7840,7923,7832,7907,7787
1973-01-18,7902,7909,7890,7897,5831
1973-01-19,7899,7902,7891,7894,4392
1973-01-20,7866,7896,7854,7892,13654
1973-01-21,7872,7872,7833,7850,16441
1973-01-22,7867,7891,7852,7875,21035
1973-01-23,7873,7878,7858,7860,8178
1973-01-24,7850,7865,7849,7851,8090
1973-01-25,7856,7863,7845,7847,9034
1973-01-26,7859,7900,7859,7891,12252
1973-01-27,7901,7976,7895,7974,23487
1973-01-28,7942,7963,7927,7949,14135
1973-01-29,8000,8016,7958,7961,16421
1973-01-30,7933,7948,7916,7946,14174
1973-01-31,7995,8005,7959,7963,12477
1973-02-01,8012,8090,8007,8020,20388
1973-02-02,8021,8041,8011,8029,14412
1973-02-03,8067,8067,8000,8046,19397
1973-02-04,8001,8015,7980,8014,14981
1973-02-05,7982,7985,7928,7947,16480
1973-02-06,7948,7972,7935,7962,9450
1973-02-07,7976,7998,7975,7994,7360
1973-02-08,7998,8010,7974,7977,13244
1973-02-09,7978,7991,7974,7981,8112
1973-02-10,7988,8006,7938,7967,19230
1973-02-11,7991,8033,7989,8019,17119
1973-02-12,8027,8051,7953,7963,17844
1973-02-13,7943,7977,7934,7971,13618
1973-02-14,7915,7915,7844,7878,26310
1973-02-15,7871,7899,7865,7874,13841
1973-02-16,7828,7835,7797,7803,16812
1973-02-17,7830,7835,7818,7827,12698
1973-02-18,7833,7856,7812,7842,10099
1973-02-19,7839,7840,7806,7815,9187
1973-02-20,7833,7839,7816,7827,6380
1973-02-21,7837,7866,7832,7860,11999
1973-02-22,7850,7860,7844,7857,6269
1973-02-23,7850,7857,7846,7850,4079
1973-02-24,7849,7850,7823,7827,8166
1973-02-25,7833,7835,7816,7828,8610
1973-02-26,7817,7844,7802,7840,12502
1973-02-27,7811,7820,7793,7814,10568
1973-02-28,7814,7816,7798,7809,9477
1973-03-01,7819,7860,7818,7854,13222
1973-03-02,7846,7910,7835,7909,24145
1973-03-03,7920,7937,7907,7934,19484
1973-03-04,7924,7960,7924,7951,13246
1973-03-05,7915,7930,7912,7924,7594
1973-03-06,7905,7919,7891,7901,11692
1973-03-07,7901,7918,7896,7904,8304
1973-03-08,7912,7963,7893,7952,17056
1973-03-09,7981,8038,7981,8028,18672
1973-03-10,8006,8032,7993,8028,12096
1973-03-11,8004,8016,7996,8010,5847
1973-03-12,8010,8015,7997,8013,9099
1973-03-13,8099,8115,8093,8111,17871
1973-03-14,8094,8138,8094,8122,11416
1973-03-15,8138,8152,8120,8138,14149
1973-03-16,8132,8143,8107,8123,10025
1973-03-17,8105,8116,8030,8069,18397
1973-03-18,8047,8135,8042,8120,16681
1973-03-19,8131,8155,8126,8138,13952
1973-03-20,8115,8155,8104,8121,12779
1973-03-21,8122,8139,8102,8106,7213
1973-03-22,8087,8096,8040,8046,7705
1973-03-23,8026,8027,8006,8020,3173
1973-03-24,8059,8075,8021,8029,13748
1973-03-25,8028,8032,7930,8001,21842
1973-03-26,8010,8038,7998,8018,11408
1973-03-27,8020,8023,8002,8018,6989
1973-03-28,8046,8076,8032,8071,12907
1973-03-29,8235,8268,8200,8248,3185
1973-03-30,8226,8350,8221,8340,28036
1973-03-31,8263,8306,8262,8290,15408
1973-04-01,8262,8297,8258,8273,12561
1973-04-02,8354,8360,8323,8337,13358
1973-04-03,8373,8375,8327,8368,14293
1973-04-04,8343,8350,8300,8322,12886
1973-04-05,8323,8340,8314,8326,9269
1973-04-06,8345,8376,8290,8364,13611
1973-04-07,8372,8382,8314,8335,12538
1973-04-08,8331,8347,8323,8343,5582
1973-04-09,8341,8345,8283,8287,9783
1973-04-10,8260,8275,8172,8176,20809
1973-04-11,8207,8217,8178,8193,14581
1973-04-12,8230,8287,8227,8271,8452
1973-04-13,8210,8243,8191,8233,11243
1973-04-14,8244,8267,8231,8250,9332
1973-04-15,8280,8310,8273,8309,10707
1973-04-16,8295,8372,8290,8367,19855
1973-04-17,8331,8346,8320,8322,9264
1973-04-18,8240,8254,8140,8165,32429
1973-04-19,8167,8220,8155,8159,16519
1973-04-20,8263,8301,8240,8268,14895
1973-04-21,8207,8222,8176,8209,13799
1973-04-22,8158,8207,8155,8190,15048
1973-04-23,8165,8185,8140,8184,11107
1973-04-24,8146,8170,8085,8109,17934
1973-04-25,8102,8123,8094,8108,10028
1973-04-26,8120,8127,8096,8100,7851
1973-04-27,8077,8088,8058,8079,15945
1973-04-28,8083,8205,8078,8153,18228
1973-04-29,8150,8170,8108,8113,15133
1973-04-30,8125,8158,8110,8137,10630
1973-05-01,8125,8140,8090,8094,11039
1973-05-02,8078,8102,8045,8047,14274
1973-05-03,8033,8054,8021,8044,13359
1973-05-04,8049,8078,8036,8042,6117
1973-05-05,8068,8075,8046,8062,9995
1973-05-06,8070,8077,8047,8059,9738
1973-05-07,8033,8035,8002,8014,16956
1973-05-08,8020,8043,8018,8041,9658
1973-05-09,8045,8095,8032,8078,16312
1973-05-10,8097,8111,8079,8099,14046
1973-05-11,8084,8087,8020,8041,16320
1973-05-12,8050,8063,8046,8057,6329
1973-05-13,8047,8073,8038,8072,7662
1973-05-14,8080,8085,8063,8074,5554
1973-05-15,8009,8043,8009,8021,10287
1973-05-16,8025,8056,8014,8049,16901
1973-05-17,8031,8057,8028,8031,10346
1973-05-18,8019,8029,8014,8021,6848
1973-05-19,8029,8033,8000,8003,14486
1973-05-20,8023,8160,8016,8077,20417
1973-05-21,8094,8097,8056,8084,8599
1973-05-22,8056,8066,8053,8061,5589
1973-05-23,8065,8105,8055,8083,2569
1973-05-24,8072,8097,8061,8069,3387
1973-05-25,8084,8093,8073,8078,1272
1973-05-26,8062,8071,8054,8058,5678
1973-05-27,8073,8138,8073,8134,16337
1973-05-28,8138,8158,8114,8147,12047
1973-05-29,8113,8119,8103,8112,6958
1973-05-30,8114,8135,8114,8119,4723
1973-05-31,8093,8107,8071,8075,10908
1973-06-01,8067,8078,8065,8069,4472
1973-06-02,8055,8055,7945,7992,23538
1973-06-03,8022,8025,8005,8011,11751
1973-06-04,8019,8030,8005,8021,5367
1973-06-05,8003,8009,8002,8004,2316
1973-06-06,7983,7992,7965,7969,12046
1973-06-07,7978,8019,7971,8007,11569
1973-06-08,7990,8004,7978,7986,8279
1973-06-09,7983,7996,7969,7979,8133
1973-06-10,7965,7986,7963,7972,9451
1973-06-11,7973,8002,7973,7987,9285
1973-06-12,7986,7989,7968,7976,7555
1973-06-13,7929,7955,7915,7954,21254
1973-06-14,7945,7957,7936,7941,8366
1973-06-15,7939,7945,7922,7925,6220
1973-06-16,7946,7978,7944,7957,9200
1973-06-17,7959,7969,7953,7961,5657
1973-06-18,7997,8030,7993,8020,20794
1973-06-19,7997,8010,7989,8001,8932
1973-06-20,7992,8010,7965,7987,19934
1973-06-21,8014,8135,8014,8110,40924
1973-06-22,8110,8120,8068,8095,21164
1973-06-23,8052,8067,8041,8051,10339
